,SCs,Tc
498,Y1Ba2Cu2.9Fe0.1O7,80.5
499,Y1Ba2Cu3O6.894,80.5
500,Pb2Sr2Ho0.5Ca0.5Cu2.94Pt0.06O8,80.4
501,Y1Ba2Cu2.979Zn0.021O7,80.2
502,Y1Ba1Sr1Cu3O6.899,80.2
503,Yb1Ba1.6Sr0.4Cu3O6.88,80.2
504,Sm1Ba1Sr1Cu3O6.94,80
505,Lu0.7Ca0.3Ba2Cu3O6.62,80
506,Y1Ba2Cu2.97Zn0.03O6.98,80
507,Y1Ba2Cu2.5Fe0.5O7.413,80
508,Y1Ba2Cu2.95Ni0.05O6.93,80
509,Er0.97Ca0.03Ba2Cu4O8,80
510,La1Ba1.75Ca0.25Cu3O6.951,80
511,Y1Ba2Cu2.5Fe0.5O7.35,80
512,Nd1.2Ba1.8Cu3O6.96,80
513,Fe0.5Ba2Y1Cu2.5O7.41,80
514,Y1Ba0.75Sr1.25Cu3O6.91,80
515,Ba1.6Sr0.4Yb0.95Ca0.05Cu3O6.76,80
516,Yb1Ba1.2Sr0.8Cu4O8,80
517,Y0.9Ca0.1Ba2Cu3O6.66,80
518,Eu1Ba1Sr1Cu3O6.94,80
519,Y0.8Ca0.2Ba1.5La0.5Cu3O7.11,80
520,Yb0.85Pr0.15Ba1.7Sr0.3Cu3O6.91,80
521,Yb1Ba1.4Sr0.6Cu4O8,80
522,La1.2Ba1.8Cu3O6.98,80
523,Yb1Ba1.6Sr0.4Cu4O8,80
524,Ba1.6Sr0.4Yb0.95Ca0.05Cu3O6.8,80
525,Yb0.8Pr0.2Ba2Cu3O6.88,79.9
526,La1Ba1.25Ca0.75Cu3O6.958,79.9
527,La1Ba1.5Ca0.5Cu3O6.96,79.9
528,Er0.85Hf0.15Ba2Cu3O6.813,79.9
529,Y1Ba2Cu2.88Ga0.12O7,79.89
530,Tm1Ba2Cu3O6.8,79.8
531,Y1Ba1.972Ca0.028Cu4O8,79.7
532,Y1Ba2Cu4O7.986,79.6
533,Gd0.8Hf0.2Ba2Cu3O6.79,79.5
534,Dy1Ba1Sr1Cu3O6.89,79.5
535,Y1Ba1.6Sr0.4Cu4O8,79.5
536,Bi1Pb1Sr2Y0.4Ca0.6Cu2O8,79.5
537,Er0.85Ca0.15Ba2Cu3O6.93,79.5
538,Y1Ba1.46Sr0.54Cu4O8,79.5
539,Eu0.9Pr0.1Ba2Cu3O6.95,79.45
540,Y0.8Pr0.2Ba1Sr1Cu3O6.9,79.4
541,Er0.99Ca0.01Ba2Cu4O8,79.3
542,Y1Ba2Cu2.82Ga0.18O7,79.24
543,Y0.85Pr0.15Ba2Cu3O6.98,79.2
544,Tm0.99Ca0.01Ba2Cu4O8,79.2
545,Y1Ba1.4Sr0.6Cu4O8,79.16666667
546,Y1Ba2Cu2.97Zn0.03O6.97,79.1
547,Y0.85Ca0.15Ba2Cu3O6.9,79
548,Y0.95Sc0.05Ba2Cu4O8,79
549,Y0.1La0.9Ba2Cu3O7.05,79
550,Y1Ba1.6Sr0.4Cu4O7.9,79
551,Eu1Ba2Cu2.95Ga0.05O6.78,79
552,Y0.8Ca0.2Ba2Cu3O6.86,79
553,Y1Ba1Sr1Cu3O6.94,79
554,La1Gd1Ba2Ca2Cu6O14.1,79
555,Lu0.9Pr0.1Ba1.7Sr0.3Cu3O6.95,79
556,Ba1.6Sr0.4Yb0.65Ca0.35Cu3O6.52,79
557,La1Er1Ba2Ca2Cu6O14.122,79
558,Er0.8Hf0.2Ba2Cu3O6.772,78.8
559,Y0.99Ca0.01Ba2Cu4O8,78.7
560,Nd1Ba2Cu3O6.86,78.6
561,Y1Ba1.4Sr0.6Cu4O7.8,78.5
562,Nd1Ba1.6Sr0.4Cu3O6.721,78.5
563,Bi1.7Pb0.3Sr2Ca0.96Y0.04Cu2O8.06,78.5
564,Y1Ba2Cu2.85Ga0.15O7,78.49
565,Y1Ba2Cu3.99Ni0.01O8,78.4
566,Y0.87Pr0.13Ba2Cu3O7,78.35
567,Y1Ba2Cu4O7.9,78.3
568,Y1Ba2Cu2.94Co0.06O7,78.3
569,Er1Ba2Cu3O6.78,78.2
570,Y0.8Ca0.2Ba2Cu3O6.89,78.2
571,Y1Ba2Cu3O6.876,78.1
572,Dy1Ba2Cu2.94Fe0.06O6.88,78
573,Y0.85Ca0.15Ba2Cu3O6.71,78
574,Ba1.6Sr0.4Yb0.65Ca0.35Cu3O6.53,78
575,Y0.75Eu0.25Ba2Cu4O8,78
576,Y1Ba0.5Sr1.5Cu3O6.98,78
577,Lu0.8Ca0.2Ba2Cu3O6.68,78
578,Y0.8Ca0.2Ba1.8La0.2Cu3O6.96,78
579,Y0.7Ca0.3Ba1.7La0.3Cu3O6.96,78
580,Bi2Sr2Ca1Cu1.98Ni0.02O8,78
581,Y0.6Ca0.4Ba1.6La0.4Cu3O6.96,78
582,Er1Ba1Sr1Cu3O6.94,78
583,Tm1Ba2Cu3O6.71,78
584,Y1Ba1.8Sr0.2Cu4O7.9,78
585,Y1Ba2Cu3.996Ni0.004O8,78
586,Y0.7Ca0.3Ba2Cu3O6.78,78
587,La1Ba1.5Ca0.5Cu3O7.011,78
588,Tm0.8Pr0.2Ba2Cu3O6.95,77.9
589,Y1Ba2Cu3.98Ga0.02O8,77.75
590,Y1Ba1.8Sr0.2Cu4O8,77.7
591,Nd1.08Ba1.92Cu3O6.17,77.5
592,Y1Ba2Cu3.96Ga0.04O8,77.5
593,Y1Ba2Cu4O7.8,77.5
594,Er0.88Ca0.12Ba2Cu2.82Co0.18O6.93,77.5
595,Ho0.97Ca0.03Ba2Cu4O8,77.4
596,Dy0.85Pr0.15Ba2Cu3O6.9,77.4
597,Sm1.15Ba1.85Cu3O6.95,77.3
598,Y1Ba2Cu2.85Ni0.15O6.97,77.2
599,Dy1Ba1Sr1Cu3O6.9,77.05
600,Y0.95Pr0.05Ba2Cu4O8,77
601,Eu1Ba2Cu3O6.76,77
602,Y1Ba1Sr1Cu2.975Sn0.025O6.92,77
603,Pb2Sr2Y0.61Ca0.39Cu3O8,77
604,Nd0.8Ca0.2Ba1Sr1Cu3O6.78,77
605,Ba1.6Sr0.4Yb0.65Ca0.35Cu3O6.63,77
606,Y1Ba2Cu2.97Zn0.03O6.85,77
607,Y0.5Eu0.5Ba2Cu4O8,77
608,Bi2Sr2Ca1Cu1.97Ni0.03O8,77
609,Lu0.85Pr0.15Ba1.7Sr0.3Cu3O6.91,77
610,Hg0.8Nd0.2Ba2Cu1O4.3,77
611,Y1Ba2Cu2.79Ga0.21O7,76.91
612,Y0.9Ca0.1Ba2Cu2.75Co0.25O7.03,76.9
613,Ho0.99Ca0.01Ba2Cu4O8,76.8
614,Nd1.15Ba1.85Cu3O6.96,76.8
615,Y0.8Ca0.2Ba2Cu3O6.7,76.7
616,Y1Ba2Cu2.94Fe0.06O6.954,76.6
617,Bi2Sr2Ca0.9Y0.1Cu2O8,76.5
618,Er0.8Ca0.2Ba2Cu3O6.91,76.5
619,Gd1Ba1Sr1Cu3O6.9371,76.5
620,Y1Ba2Cu2.95Fe0.05O6.84,76.4
621,Er0.8Pr0.2Ba2Cu3O7,76.4
622,La1Ba1Ca1Cu3O6.98,76.35
623,Y1Ba1Sr1Cu2.975Sn0.025O6.91,76.3
624,Ba1.6Sr0.4Yb0.85Ca0.15Cu3O6.83,76
625,Bi2Sr2Ca0.6Y0.4Cu2O8.36,76
626,Y1Ba2Cu2.85Fe0.15O7.02,76
627,La1Ba1.5Ca0.5Cu3O6.85,76
628,Nd1.1Ba1.9Cu3O6.935,76
629,Y1Ba1.76Sr0.24Cu4O8,76
630,Bi1Pb1Sr2Y0.65Ca0.35Cu2O8,76
631,Yb0.8Pr0.2Ba1.7Sr0.3Cu3O6.92,76
632,La1Ba1.5Ca0.5Cu3O7.079,76
633,La1Ba2Cu3O6.89,76
634,Hg1Tl1Ba2Ca2Cu3O10,76
635,Ca1Ba1La1Cu3O6.85,76
636,Pb2Sr2Y0.53Ca0.47Cu3O8,76
637,Y1Ba2Cu3O6.765,75.8
638,Bi1.7Pb0.3Sr2Ca1Cu2O8.23,75.75
639,Y1Ba1Sr1Cu3O6.88,75.6
640,Y1Ba2Cu2.82Fe0.18O6.95,75.6
641,Pb2Sr2Ho0.5Ca0.5Cu3O8,75.56666667
642,Y0.925Ca0.075Ba2Cu3O6.68,75.1
643,Y0.95Ca0.05Ba2Cu2.75Co0.25O7.06,75.1
644,Sr1.84Ba0.16Cu1O3.4,75
645,Y1Ba2Cu2.85Ni0.15O6.84,75
646,Lu0.8Pr0.2Ba1.7Sr0.3Cu3O6.93,75
647,La1Ba1Ca1Cu3O6.99,75
648,La1Ba1.1Ca0.9Cu3O7.02,75
649,Y0.25Eu0.75Ba2Cu4O8,75
650,Gd1Ba2Cu2.91Fe0.09O6.94,75
651,Y0.85Pr0.15Ba2Cu3O6.84,75
652,Y1Ba2Cu2.9Al0.1O7,75
653,Y1Ba2Cu2.94Zn0.06O6.93,75
654,Eu1Ba1Sr0.8Ca0.2Cu3O6.95,75
655,Y1Ba2Cu2.7Ga0.3O6.93,75
656,Bi1Pb1Sr2Y0.3Ca0.7Cu2O8,75
657,Y0.95Ga0.05Ba2Cu4O8,75
658,Er1Ba2Cu3O6.6,75
659,Fe0.5Ba2Dy1Cu2.5O7.52,75
660,Nd1Ba1.4Sr0.6Cu3O6.94,75
661,Hg1Ba2Cu0.97Zn0.03O4.063,75
662,Y0.868Ca0.132Ba2Cu3O6.928,75
663,Eu1Ba1Sr0.7Ca0.3Cu3O6.95,75
664,Y1Ba2Cu2.9Fe0.1O6.9,74.9
665,Y1Ba2Cu2.91Zn0.09O6.9,74.6
666,Hg1.4Tl0.6Ba2Y0.7Ca0.3Cu2O7.81,74.5
667,Y1Ba2Cu3.92Ga0.08O8,74.5
668,Y1Ba1.98La0.02Cu4O8,74.3
669,Gd0.9Pr0.1Ba2Cu3O6.95,74.3
670,Y0.9Ga0.1Ba2Cu4O8,74
671,Nd1Ba1Sr1Cu3O6.94,74
672,Y1Ba0.75Sr1.25Cu3O6.94,74
673,La1Ba1.2Ca0.8Cu3O6.95,74
674,Pb2Sr2Eu0.75Ca0.25Cu3O8,74
675,La1Ba1.4Ca0.6Cu3O6.9,74
676,Bi2Sr2Ca0.65Y0.35Cu2O8.3,74
677,Ba1.6Sr0.4Yb0.75Ca0.25Cu3O6.68,74
678,Y1Ba2Cu3O6.883,74
679,La1Ba2Cu3O6.95,74
680,Y0.8Pr0.2Ba2Cu4O7.95,74
681,Bi2Sr2Ca1Cu1.952Ni0.048O8,74
682,Y1Ba2Cu2.82Fe0.18O7,74
683,Y1Ba2Cu2.95Zn0.05O6.94,73.9
684,Y1Ba1Sr1Cu2.95Sn0.05O6.96,73.8
685,Ca0.7Nd0.3Ba1La1Cu3O7.04,73.8
686,Ca0.8Nd0.2Ba1La1Cu3O6.99,73.8
687,Ca0.9Nd0.1Ba1La1Cu3O6.87,73.8
688,Bi1.9Pb0.1Sr2Ca1Cu2O8.2,73.5
689,Yb0.7Pr0.3Ba2Cu3O6.97,73.5
690,Lu0.7Pr0.3Ba2Cu3O7,73.5
691,Y1Ba2Cu3.88Ga0.12O8,73.5
692,Y1Ba2Cu3.98Co0.02O8,73.3
693,Y1Ba2Cu3.99Zn0.01O8,73.3
694,Y1Ba2Cu2.9Co0.1O6.82,73
695,Pb2Sr2Eu0.8Ca0.2Cu3O8,73
696,Y0.7Ca0.3Ba1.3La0.7Cu3O7.16,73
697,Y1Ba2Cu2.7Ni0.3O6.88,73
698,Pb2Sr2Eu0.7Ca0.3Cu3O8,73
699,La1Ba1.3Ca0.7Cu3O6.92,73
700,Y0.8Ca0.2Ba1.5La0.5Cu3O7.13,73
701,Y0.9Ca0.1Ba2Cu3O6.7,73
702,Bi1.7Pb0.3Sr2Ca0.7Y0.3Cu2O8.26,73
703,La0.8Ca0.2Ba1.5Sr0.5Cu3O6.794,73
704,Ba1.6Sr0.4Yb0.65Ca0.35Cu3O6.45,73
705,Y1Ba2Cu2.85Ni0.15O6.9,73
706,Y1Ba2Cu2.7Al0.3O6.99,73
707,Eu1Ba1.9Pr0.1Cu3O6.75,73
708,Nd1Ba1.8Ca0.2Cu3O6.866,73
709,Er1Ba2Cu2.94Co0.06O6.8,73
710,Y1Ba1.5Sr0.5Cu3O6.85,72.9
711,Y1Ba2Cu2.975Zn0.025O6.85,72.85
712,Eu1Ba2Cu2.9Co0.1O6.97,72.7
713,Y0.8Pr0.2Ba2Cu3O6.98,72.6
714,La1Ba1.75Sr0.25Cu3O6.946,72.5
715,Y1Ba2Cu2.9Ni0.1O6.93,72.5
716,Y0.8Pr0.2Ba2Cu3O6.96,72.35
717,Y0.85Pr0.15Ba2Cu4O8,72.3
718,Y0.8Ca0.2Ba2Cu3O6.6,72.1
719,Y0.9Pr0.1Ba2Cu4O8,72.025
720,Fe0.5Ba2Yb1Cu2.5O7.45,72
721,Fe0.5Ba2Er1Cu2.5O7.46,72
722,La1Ba1.5Ca0.5Cu3O7.112,72
723,Er1Ba2Cu2.82Fe0.18O6.97,72
724,Fe0.5Ba2Gd1Cu2.5O7.45,72
725,Y0.9Ca0.1Ba1.6La0.4Cu3O7.09,72
726,Y1Ba2Cu2.955Fe0.045O6.89,72
727,Y1Ba2Cu2.76Ga0.24O7,71.79
728,Y0.8Ca0.2Ba2Cu3O7,71.6
729,Y0.8Pr0.2Ba2Cu3O6.82,71.6
730,Y1Ba2Cu2.76Ni0.24O7,71.5
731,Bi1.7Pb0.3Sr2Ca0.7Y0.3Cu2O8.25,71.5
732,Y1Ba2Cu3.84Ga0.16O8,71.25
733,Y1Ba2Cu3O6.773,71.2
734,La1Ba0.9Ca1.1Cu3O7.05,71
735,Pb2Sr2Eu0.85Ca0.15Cu3O8,71
736,Pb2Sr2Eu0.65Ca0.35Cu3O8,71
737,Y1Ba2Cu2.94Zn0.06O6.96,71
738,Gd0.96Ca0.04Ba1Sr1Cu3O6.9138,71
739,Y0.95Ca0.05Ba2Cu3O6.7,71
740,Y1Ba2Cu2.9Fe0.1O6.929,71
741,Y1Ba2Cu2.85Co0.15O6.92,71
742,La0.85Ca0.15Ba1.5Sr0.5Cu3O6.819,71
743,Yb0.75Pr0.25Ba1.7Sr0.3Cu3O6.92,71
744,La0.75Sm0.25Ba1Ca1Cu3O7,71
745,Nd0.9Ca0.1Ba1Sr1Cu3O6.85,71
746,Y0.975Ca0.025Ba2Cu3O6.72,70.8
747,Gd0.99Ca0.01Ba1Sr1Cu3O6.9198,70.5
748,Y1Ba2Cu3.97Ni0.03O8,70.4
749,Y1Ba2Cu3.8Ga0.2O8,70.25
750,Y1Ba2Cu2.955Zn0.045O7,70.1
751,Y0.8Pr0.2Ba2Cu3O6.965,70
752,Tm1Ba1Sr1Cu3O6.94,70
753,Dy1Ba2Cu2.9Fe0.1O6.84,70
754,Y1Ba2Cu3.985Zn0.015O7.95,70
755,Dy1Ba2Cu2.96Zn0.04O6.9,70
756,Y1Ba2Cu2.9Ni0.1O6.95,70
757,Sm1Ba2Cu2.96Zn0.04O6.83,70
758,Bi1.7Pb0.3Sr2Ca0.8Y0.2Cu2O8,69.7
759,Y1Ba2Cu2.9Ni0.1O6.88,69.5
760,Y1Ba2Cu2.835Fe0.165O6.98,69.3
761,Y1Ba1Sr1Cu2.9Sn0.1O7,69.1
762,Hg1Ba2Cu0.97Zn0.03O4.052,69
763,Pb2Sr2Eu0.9Ca0.1Cu3O8,69
764,Er1Ba2Cu2.94Zn0.06O6.92,69
765,Nd1.3Ba1.7Cu3O7,69
766,Y1Ba2Cu3O6.702,69
767,Y0.8Ga0.2Ba2Cu4O8,69
768,La1Ca1Ba1Cu3O7,69
769,Y1Ba2Cu2.7Fe0.3O7.1,69
770,Y1Ba2Cu2.73Fe0.27O7.1,69
771,Y1Ba2Cu3.98Ni0.02O8,68.8125
772,Y0.95Ca0.05Ba1.9La0.1Cu4O7.9,68.8
773,Y0.9Ca0.1Ba2Cu3O6.59,68.8
774,Ho1Sr0.2Ba1.8Cu4O8,68.8
775,Hg1.4Tl0.6Ba2Y0.4Ca0.6Cu2O7.71,68.6
776,Y1Ba1Sr1Cu2.9Sn0.1O7.001,68.6
777,Eu0.9Pr0.1Ba2Cu3O7,68.3
778,Y0.8Pr0.2Ba2Cu3O7.55,68.3
779,La0.9Pr0.1Ba2Cu3O7,68.3
780,Ho1Sr0.6Ba1.4Cu4O8,68.3
781,Nd0.92Pr0.08Ba2Cu3O7,68.2
782,Ho1Sr0.4Ba1.6Cu4O8,68.1
783,Yb0.7Ca0.3Ba1.6Sr0.4Cu3O6.73,68.05
784,Dy1Ba2Cu2.9Ga0.1O6.7,68
785,Lu0.7Ca0.3Ba2Cu3O6.4,68
786,Y1Ba2Cu2.52Al0.48O6.74,68
787,Y0.8Pr0.2Ba2Cu3O6.81,68
788,Tl1Sr2Ca0.6Y0.4Cu2O7,68
789,Y1Ba1Sr1Cu2.8Mo0.2O7.3,68
790,Y1Ba2Cu2.82Ni0.18O7,68
791,La0.9Ca0.1Ba1.5Sr0.5Cu3O6.847,68
792,Gd0.85Pr0.15Ba2Cu3O7,67.9
793,Y1Ba1.9La0.1Cu4O7.8,67.8
794,Sm1Ba2Cu3O6.734,67.6
795,Y1Ba2Cu2.95Fe0.05O6.79,67.6
796,Y1Ba2Cu2.94Zn0.06O6.97,67.6
797,Bi1.7Pb0.3Sr2Ca1Cu2O8.27,67.6
798,Er0.75Ca0.25Ba2Cu3O6.88,67.5
799,Y0.8Pr0.2Ba2Cu3O7.67,67.5
800,Nd1Ba2Cu3O6.85,67.4
801,Y0.8Ca0.2Ba2Cu3O6.59,67.3
802,Yb0.7Pr0.3Ba2Cu3O6.87,67.2
803,Y1Ba2Cu2.73Ga0.27O7,67.04
804,Dy1Ba2Cu2.9Ni0.1O6.74,67
805,Pb0.5Sr2Y0.6Ca0.4Cu2.5O6.97,67
806,Y0.6Ca0.4Ba1.2La0.8Cu3O7.15,67
807,Y1Ba2Cu2.97Zn0.03O6.77,67
808,Bi1.7Pb0.3Sr2Ca0.7Y0.3Cu1.94Zn0.06O8,66.9
809,Nd1Ba1.2Sr0.8Cu3O6.97,66.9
810,Y0.8Pr0.2Ba2Cu4O8,66.78571429
811,Y0.8Pr0.2Ba2Cu3O7.65,66.5
812,Hg1.4Tl0.6Ba2Y0.3Ca0.7Cu2O7.68,66.4
813,Y1Ba2Cu2.75Co0.25O7.06,66.2
814,Y1Ba2Cu2.95Zn0.05O6.85,66.19
815,Bi2Sr2Ca0.5Y0.5Cu2O8.39,66
816,Y0.8Ca0.2Ba1.4La0.6Cu3O7.15,66
817,La1Ba1Ca1Cu3O7,66
818,Y0.76Ca0.24Ba2Cu2.64Co0.36O6.96,66
819,Y1Ba2Cu2.4Ni0.6O6.94,66
820,La1Ba1Ca1Cu3O6.856,66
821,Ba1.6Sr0.4Yb0.75Ca0.25Cu3O6.51,66
822,La0.5Sm0.5Ba1Ca1Cu3O7,66
823,Lu0.75Pr0.25Ba1.7Sr0.3Cu3O6.9,66
824,La0.95Ca0.05Ba1.5Sr0.5Cu3O6.878,66
825,Gd0.9Mo0.1Ba2Cu3O6.907,65.9
826,Y1Ba2Cu2.67Ga0.33O7,65.64
827,Y0.9Pr0.1Ba2Cu3O6.8,65.6
828,Nd1.1Ba1.9Cu3O7.05,65.5
829,Y0.8Pr0.2Ba2Cu3O7.79,65.4
830,Y1Ba2Cu2.55Ga0.45O7,65.36
831,Ba2Yb1Cu3O6.66,65.3
832,Yb0.7Ca0.3Ba1.6Sr0.4Cu3O6.43,65.3
833,Y0.9Ca0.1Ba2Cu3O6.6,65.3
834,La1Ba1.5Sr0.5Cu3O6.967,65.2
835,Pb2Sr2Y0.64Ca0.36Cu3O8,65
836,Y1Ba2Cu2.94Zn0.06O6.95,65
837,Eu0.8Pr0.2Ba2Cu3O6.7,65
838,Nd1Ba1.6Ca0.4Cu3O6.828,65
839,Ru0.8Sr2Y1Cu2.2O8.1,65
840,Lu0.8Ca0.2Ba2Cu3O6.54,65
841,Er1Ba2Cu2.82Ni0.18O7,65
842,La0.25Sm0.75Ba1Ca1Cu3O7,65
843,Y1Ba2Cu2.85Co0.15O7.03,65
844,La2Ba4Cu6O13.8,65
845,Y1Ba2Cu2.925Zn0.075O6.94,65
846,Ca0.95Ce0.05Ba1La1Cu3O6.91,64.8
847,Y1Ba2Cu2.61Ga0.39O7,64.8
848,Y1Ba2Cu2.94Ni0.06O6.78,64.6
849,Tm1Ba2Cu3O6.72,64.5
850,Yb1Ba2Cu2.943Zn0.057O6.9,64.3
851,Tm0.7Pr0.3Ba2Cu3O6.95,64.1
852,Bi2Sr2Ca0.6Y0.4Cu2O8.29,64
853,Y1Ba2Cu2.89Co0.11O7,64
854,Ca1Ba1La1Cu3O6.97,64
855,Y0.8Ca0.2Sr1Ba1Cu2.7Ga0.3O7,64
856,Y1Ba2Cu2.88Zn0.12O6.95,64
857,Nd1Ba1Sr1Cu3O6.92,64
858,Er0.94Ca0.06Ba2Cu2.82Co0.18O6.76,64
859,Y1Ba1Sr1Cu2.85Sn0.15O7.06,63.8
860,Y1Ba2Cu2.9Fe0.1O6.85,63.8
861,Y1Ba1Sr1Cu2.85Sn0.15O7.062,63.7
862,Y0.7Pr0.3Ba2Cu4O8,63.66666667
863,Pb2Sr2Ho0.5Ca0.5Cu2.982Al0.018O8,63.6
864,Y1Ba2Cu2.925Zn0.075O6.85,63.6
865,Y1Ba2Cu3.939Ni0.061O8,63.5
866,Bi1.7Pb0.3Sr2Ca0.6Y0.4Cu2O8,63.5
867,Y1Ba2Cu2.4Ga0.6O7,63.31
868,Y0.8Pr0.2Ba2Cu3O7.2,63.3
869,Gd1Ba1.9Pr0.1Cu3O7.03,63.3
870,Nd1Ba2Cu3O6.78,63
871,Y1Ba2Cu3.964Ni0.036O8,63
872,Y1Ba2Cu2.697Mn0.303O6.9,63
873,Eu0.8Pr0.2Ba2Cu3O7,63
874,Dy1Ba2Cu2.8Ni0.2O6.83,63
875,Y1Ba2Cu3.972Zn0.028O8,63
876,Y1Ba2Cu3.976Zn0.024O8,63
877,Y1Ba2Cu2.05Al0.95O6.7,63
878,Y0.6Pr0.4Ba2Cu4O7.95,63
879,Y0.8Pr0.2Ba2Cu3O7.5,62.9
880,Y1Ba2Cu3.96Mn0.04O8,62.8
881,Y1Ba1.7La0.3Cu4O7.8,62.7
882,Y0.8Pr0.2Ba2Cu3O6.91,62.7
883,Y0.8Pr0.2Ba2Cu3O7.3,62.6
884,Y0.8Ca0.2Ba2Cu3O6.51,62.6
885,Yb0.9Ca0.1Ba1.6Sr0.4Cu3O6.89,62.1
886,Bi1.7Pb0.3Sr2Ca0.65Y0.35Cu1.94Zn0.06O8,62.1
887,Y1Ba2Cu2.988Zn0.012O6.75,62
888,Dy1Ba2Cu2.94Zn0.06O6.9,62
889,Y1Ba2Cu2.4Fe0.6O7.453,62
890,Y1Ba2Cu3O6.71,61.96666667
891,Y1Ba2Cu2.97Zn0.03O6.76,61.4
892,Er0.7Pr0.3Ba2Cu3O7,61.1
893,Y1Ba1.9La0.1Cu4O8,61
894,Ru1Sr2Gd0.9Ca0.1Cu2O8,61
895,Ba1.6Sr0.4Yb0.85Ca0.15Cu3O6.6,61
896,Y1Ba1.87La0.13Cu4O8,61
897,Y0.8Ca0.2Ba2Cu3O6.49,61
898,Y1Ba2Cu2.94Zn0.06O6.84,60.8
899,Bi1.7Pb0.3Sr2Ca0.75Y0.25Cu1.94Zn0.06O8,60.6
900,Y0.7Pr0.3Ba2Cu3O6.942,60.6
901,Y1Ba2Cu3O6.59,60.55
902,Nd1Ba2Cu3O6.23,60.5
903,Y0.6Pr0.4Ba1Sr1Cu3O6.9,60.5
904,Y1Ba2Cu3O6.666,60.5
905,Ca0.9Ce0.1Ba1La1Cu3O7.02,60.5
906,Y1Ba1.8La0.2Cu4O7.9,60.1
907,Fe0.5Ba2Tm1Cu2.5O7.43,60
908,La1Ba0.8Ca1.2Cu3O7.11,60
909,Ca1La1Ba1Cu2.97Zn0.03O7,60
910,Ba1.6Sr0.4Yb1Cu3O6.75,60
911,Y1Ba2Cu2.91Fe0.09O6.83,60
912,Y1Ba2Cu2.994Zn0.006O6.63,60
913,Y1Ba2Cu2.3Fe0.7O7.484,60
914,Fe0.5Ba2Eu1Cu2.5O7.51,60
915,Y0.9Ca0.1Ba1.5La0.5Cu3O7.13,60
916,Y1Ba2Cu2.95Zn0.05O6.8,60
917,La0.8Pr0.2Ba2Cu3O7,59.8
918,Y0.8Pr0.2Ba2Cu3O7.4,59.8
919,Sm1Ba2Cu3O6.709,59.8
920,Y1Ba2Cu3O6.61,59.626
921,Y1Ba2Cu3O6.64,59.53333333
922,Y1Ba2Cu3O6.602,59.4
923,Y0.7Pr0.3Ba2Cu3O6.97,59.3
924,Gd0.85Mo0.15Ba2Cu3O6.855,59.2
925,Pb2Sr2Ho0.5Ca0.5Cu2.97Al0.03O8,59.1
926,Y0.85Pr0.15Ba2Cu3O6.8,59
927,Sm1Ba2Cu2.94Zn0.06O6.85,59
928,La0.25Dy0.75Ba1Ca1Cu3O7,59
929,Pb2Sr2Eu0.95Ca0.05Cu3O8,59
930,Y1Ba2Cu3O6.556,58.95
931,Y1Ba2Cu2.8Fe0.2O6.9,58.8
932,Y1Ba1Sr1Cu3O6.83,58.5
933,Dy1Ba2Cu2.8Fe0.2O6.93,58
934,Y1Ba2Cu2.775Co0.225O6.99,58
935,Y1Ba2Cu2.97Zn0.03O6.75,58
936,Lu0.7Ca0.3Ba2Cu3O6.15,58
937,Y0.9Ca0.1Ba1.5La0.5Cu3O7.19,57.9
938,Eu0.8Pr0.2Ba2Cu3O6.97,57.9
939,Y1Ba2Cu2.982Zn0.018O6.75,57.8
940,Y1Ba2Cu2.8Fe0.2O6.85,57.7
941,Y1Ba2Cu3O6.829,57.7
942,Gd0.8Pr0.2Ba2Cu3O7,57.7
943,Y0.8Pr0.2Ba2Cu3O7.1,57.6
944,Y0.7Pr0.3Ba2Cu3O6.98,57.4
945,Nd0.95Pr0.05Ba2Cu3O6.85,57.2
946,La1Ba1.5Sr0.5Cu3O6.948,57.1
947,La0.7Pr0.3Ba2Cu3O7,57.1
948,Y1Ba2Cu2.844Fe0.156O7,57
949,La1Ba1Sr1Cu3O6.94,57
950,Bi2Sr2Ca0.6Pr0.4Cu2O8.316,57
951,Y0.7Pr0.3Ba2Cu3O6.96,57
952,Y1Ba2Cu2.9Zn0.1O6.94,56.95
953,Y0.7Pr0.3Ba2Cu3O7,56.8925
954,Y1Ba2Cu3O6.729,56.8
955,Y1Ba2Cu3.956Zn0.044O8,56.8
956,Ba1.8Sr0.2Yb1Cu3O6.61,56.7
957,Lu0.6Pr0.4Ba2Cu3O7,56.55
958,Gd0.8Th0.2Fe1As1O1,56.5
959,Sm1Ba1.9Pr0.1Cu3O6.99,56.4
960,Y1Ba2Cu3O6.57,56.1
961,Y0.8Pr0.2Ba2Cu3O6.8,56.1
962,Y0.9Pr0.1Ba2Cu3O6.65,56.1
963,Y0.6Ca0.4Sr1.6Ba0.4Cu2Ga1O7,56
964,Y1Ba2Cu2.91Zn0.09O6.95,56
965,La0.75Dy0.25Ba1Ca1Cu3O7,56
966,Y1Ba2Cu2.982Zn0.018O6.78,56
967,Gd1Ba1.85Pr0.15Cu3O7.09,55.8
968,Er0.7Ca0.3Ba2Cu3O6.83,55.7
969,Y1Ba2Cu2.74Fe0.26O7,55.6
970,Sm1Fe1As1H0.19O0.81,55.3
971,Eu1Ba2Cu2.8Co0.2O6.98,55.3
972,Y1Ba2Cu2.9Co0.1O6.89,55.3
973,Y0.6Pr0.4Ba2Cu4O8,55.25
